date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/1 13:00,69.0229,986,14.89752,10,1035.95382,57.2165
2020/1/1 13:15,65.3808,975,14.7015,9.9,1035.75186,58.2568
2020/1/1 13:30,49.4797,949,12.83931,10,1035.34794,59.2971
2020/1/1 13:45,24.0736,707,10.38906,10.4,1035.24696,60.3374
2020/1/1 14:00,16.967,282,8.03682,10,1035.24696,61.3777
2020/1/1 14:15,19.9873,240,10.87911,10,1034.84304,62.418
2020/1/1 14:30,24.9619,275,9.21294,10.3,1034.84304,63.4583
2020/1/1 14:45,19.0102,204,7.54677,10.2,1034.94402,64.4986
2020/1/1 15:00,15.5457,196,6.76269,10.4,1035.14598,65.5389
2020/1/1 15:15,11.1041,149,6.27264,10.4,1035.045,66.5792
2020/1/1 15:30,7.3731,178,6.76269,10.3,1035.24696,67.6195
2020/1/1 15:45,4.264,66,6.8607,10.2,1035.14598,68.6598
2020/1/1 16:00,5.9518,54,7.15473,10.1,1035.14598,68.6598
2020/1/1 16:15,5.0635,79,7.15473,10.1,1035.045,69.7001
2020/1/1 16:30,1.5102,63,7.05672,10.1,1035.045,70.7404
2020/1/1 16:45,0,15,7.05672,9.9,1035.24696,70.7404
2020/1/1 17:00,0,0,6.95871,9.7,1035.24696,70.7404
2020/1/1 17:15,0,0,7.15473,9.5,1035.34794,71.7807
2020/1/1 17:30,0,0,7.25274,9.4,1035.14598,71.7807
2020/1/1 17:45,0,0,7.44876,9.2,1034.94402,71.7807
2020/1/1 18:00,0,0,7.44876,9.1,1034.74206,71.7807
2020/1/1 18:15,0,0,7.44876,8.9,1034.94402,70.7404
2020/1/1 18:30,0,0,7.44876,8.7,1035.045,70.7404
2020/1/1 18:45,0,0,7.64478,8.7,1035.045,70.7404
2020/1/1 19:00,0,0,7.74279,8.7,1034.94402,70.7404
2020/1/1 19:15,0,0,7.64478,8.6,1034.84304,70.7404
2020/1/1 19:30,0,0,7.44876,8.7,1034.74206,70.7404
2020/1/1 19:45,0,0,7.54677,8.7,1034.64108,70.7404
2020/1/1 20:00,0,0,7.64478,8.6,1034.33814,70.7404
2020/1/1 20:15,0,0,7.44876,8.6,1034.5401,71.7807
2020/1/1 20:30,0,0,7.35075,8.5,1034.33814,71.7807
2020/1/1 20:45,0,0,7.44876,8.5,1034.13618,72.821
2020/1/1 21:00,0,0,7.54677,8.3,1034.33814,72.821
2020/1/1 21:15,0,0,7.44876,8.3,1034.33814,72.821
2020/1/1 21:30,0,0,7.25274,8.3,1034.33814,73.8613
2020/1/1 21:45,0,0,7.35075,8.2,1034.33814,74.9016
2020/1/1 22:00,0,0,7.15473,8,1034.33814,74.9016
2020/1/1 22:15,0,0,6.66468,8,1034.33814,74.9016
2020/1/1 22:30,0,0,6.56667,7.9,1034.33814,75.9419
2020/1/1 22:45,0,0,6.56667,8,1034.5401,75.9419
2020/1/1 23:00,0,0,6.27264,7.8,1034.43912,76.9822
2020/1/1 23:15,0,0,6.17463,7.8,1034.43912,76.9822
2020/1/1 23:30,0,0,5.8806,7.8,1034.23716,76.9822
2020/1/1 23:45,0,0,5.97861,7.7,1034.13618,83.224
2020/1/1 0:00,0,0,5.78259,7.7,1033.83324,84.2643
2020/1/2 0:15,0,0,5.78259,7.8,1033.83324,85.3046
2020/1/2 0:30,0,0,5.97861,7.7,1033.93422,85.3046
2020/1/2 0:45,0,0,5.97861,7.9,1034.33814,85.3046
